Decile_group,Expenditure_decile_low,Expenditure_decile_high,Median_household_expenditure,Mean_household_expenditure,Mean_food_expenditure,Mean_non_food_expenditure,Mean_household_income,Rice_kekulu_white_Rs,Rice_kekulu_samba_white_Rs,Rice_kekulu_red_Rs,Rice_Kekulu_samba_red_Rs,Rice_samba_Rs,Rice_nadu_red_Rs,Rice_nadu_white_Rs,Rice_other_Rs,Wheat_flour_Rs,Bread_Rs,Dhal_Rs,Chicken_Rs,Beef_Rs,Balaya_Rs,Kelavalla_Rs,Sprats_Rs,Balaya_dry_Rs,Eggs_Rs,Coconut_Rs,Bombay_onions_Rs,Milk_Rs,Milk_powder_Rs,Sugar_Rs,Tea_Rs,Rice_kekulu_white_kg,Rice_kekulu_samba_white_kg,Rice_kekulu_red_kg,Rice_Kekulu_samba_red_kg,Rice_samba_kg,Rice_nadu_red_kg,Rice_nadu_white_kg,Rice_other_kg,Wheat_flour_kg,Bread_kg,Dhal_kg,Chicken_kg,Beef_g,Balaya_g,Kelavalla_g,Sprats_g,Balaya_dry_g,Eggs_no,Coconut_no,Bombay_onions_kg,Milk_ml,Milk_powder_kg,Sugar_kg,Tea_g
1,0.00," 20,140 "," 15,122 "," 14,592 "," 8,910 "," 5,682 "," 20,734 ", 281 , 11 , 403 , 4 , 69 , 71 , 520 , 22 , 93 , 200 , 199 , 107 , 22 , 55 , 13 , 165 , 57 , 74 , 619 , 144 , 12 , 334 , 216 , 245 , 3.5 , 0.1 , 5.1 , 0.1 , 0.7 , 0.8 , 5.8 , 0.2 , 0.9 ,0.00, 1.1 , 0.2 , 28.8 , 109.0 , 19.0 , 248.0 , 74.0 , 4.0 , 15.0 , 1.1 , 0.1 , 0.4 , 2.0 , 284.0 
2," 20,141 "," 27,588 "," 23,817 "," 23,900 "," 13,806 "," 10,094 "," 31,961 ", 482 , 31 , 573 , 10 , 186 , 98 , 836 , 40 , 159 , 312 , 311 , 315 , 72 , 120 , 37 , 268 , 83 , 168 , 903 , 229 , 20 , 632 , 332 , 330 , 5.9 , 0.4 , 7.4 , 0.1 , 1.8 , 1.0 , 9.3 , 0.4 , 1.6 ,0.00, 1.8 , 0.6 , 88.0 , 227.0 , 50.0 , 399.0 , 112.0 , 8.0 , 22.0 , 1.8 , 0.2 , 0.7 , 3.0 , 376.0 
3," 27,589 "," 33,972 "," 30,722 "," 30,743 "," 16,796 "," 13,947 "," 39,628 ", 454 , 42 , 615 , 13 , 264 , 125 ," 1,049 ", 51 , 200 , 371 , 370 , 456 , 132 , 154 , 91 , 308 , 107 , 202 ," 1,036 ", 272 , 25 , 861 , 393 , 386 , 5.5 , 0.5 , 8.0 , 0.1 , 2.5 , 1.3 , 11.6 , 0.5 , 2.0 ,0.00, 2.1 , 0.9 , 162.3 , 289.0 , 130.0 , 466.0 , 141.0 , 10.0 , 25.0 , 2.2 , 0.3 , 1.0 , 3.6 , 428.0 
4," 33,973 "," 40,380 "," 37,157 "," 37,174 "," 19,480 "," 17,694 "," 48,632 ", 511 , 31 , 671 , 23 , 378 , 118 ," 1,157 ", 52 , 205 , 452 , 402 , 704 , 192 , 206 , 120 , 322 , 110 , 265 ," 1,154 ", 304 , 31 , 988 , 437 , 417 , 6.1 , 0.4 , 8.6 , 0.3 , 3.6 , 1.2 , 12.8 , 0.5 , 2.0 , 0.1 , 2.3 , 1.4 , 232.6 , 400.0 , 172.0 , 475.0 , 149.0 , 13.0 , 27.0 , 2.4 , 0.3 , 1.1 , 3.9 , 454.0 
5," 40,381 "," 47,544 "," 43,733 "," 43,860 "," 21,372 "," 22,488 "," 54,416 ", 516 , 60 , 583 , 23 , 441 , 121 ," 1,198 ", 44 , 254 , 492 , 418 , 809 , 208 , 258 , 200 , 342 , 120 , 284 ," 1,195 ", 341 , 31 ," 1,136 ", 464 , 444 , 6.3 , 0.6 , 7.5 , 0.3 , 4.2 , 1.3 , 13.1 , 0.4 , 2.5 , 0.1 , 2.5 , 1.6 , 248.0 , 483.0 , 277.0 , 499.0 , 155.0 , 14.0 , 27.0 , 2.7 , 0.3 , 1.3 , 4.2 , 479.0 
6," 47,545 "," 55,634 "," 51,332 "," 51,420 "," 23,085 "," 28,335 "," 63,020 ", 508 , 74 , 638 , 30 , 568 , 108 ," 1,187 ", 50 , 238 , 535 , 448 , 947 , 233 , 237 , 230 , 357 , 120 , 305 ," 1,271 ", 342 , 53 ," 1,204 ", 468 , 463 , 6.1 , 0.8 , 8.1 , 0.4 , 5.3 , 1.1 , 13.1 , 0.4 , 2.3 , 0.1 , 2.6 , 1.9 , 278.7 , 408.0 , 307.0 , 516.0 , 150.0 , 15.0 , 29.0 , 2.7 , 0.5 , 1.3 , 4.3 , 487.0 
7," 55,635 "," 66,761 "," 60,796 "," 60,930 "," 25,175 "," 35,755 "," 70,013 ", 538 , 68 , 650 , 27 , 667 , 117 ," 1,091 ", 79 , 225 , 582 , 487 ," 1,059 ", 260 , 317 , 291 , 381 , 112 , 346 ," 1,308 ", 367 , 62 ," 1,358 ", 484 , 484 , 6.4 , 0.7 , 8.2 , 0.3 , 6.2 , 1.2 , 11.9 , 0.7 , 2.3 , 0.1 , 2.8 , 2.1 , 299.0 , 555.0 , 380.0 , 549.0 , 136.0 , 17.0 , 29.0 , 2.9 , 0.6 , 1.5 , 4.4 , 499.0 
8," 66,762 "," 82,858 "," 74,028 "," 74,202 "," 27,587 "," 46,615 "," 88,199 ", 465 , 113 , 603 , 55 , 810 , 114 , 994 , 121 , 184 , 639 , 511 ," 1,231 ", 257 , 296 , 376 , 394 , 110 , 354 ," 1,365 ", 408 , 77 ," 1,514 ", 481 , 501 , 5.6 , 1.2 , 7.6 , 0.6 , 7.5 , 1.2 , 10.9 , 0.9 , 1.8 , 0.1 , 2.9 , 2.4 , 281.0 , 508.0 , 494.0 , 557.0 , 135.0 , 18.0 , 30.0 , 3.2 , 0.6 , 1.7 , 4.4 , 498.0 
9," 82,859 "," 114,984 "," 95,178 "," 96,384 "," 29,968 "," 66,416 "," 112,376 ", 465 , 109 , 672 , 50 , 933 , 108 , 915 , 133 , 173 , 645 , 532 ," 1,348 ", 163 , 272 , 451 , 409 , 94 , 381 ," 1,450 ", 428 , 72 ," 1,657 ", 487 , 532 , 5.6 , 1.1 , 8.2 , 0.5 , 8.5 , 1.1 , 10.1 , 1.0 , 1.7 , 0.1 , 3.1 , 2.6 , 181.0 , 468.0 , 564.0 , 570.0 , 113.0 , 19.0 , 31.0 , 3.3 , 0.6 , 1.8 , 4.4 , 522.0 
10," 114,985 ",," 156,372 "," 198,169 "," 35,128 "," 163,042 "," 235,253 ", 449 , 126 , 545 , 75 , 970 , 72 , 683 , 254 , 144 , 705 , 560 ," 1,739 ", 196 , 276 , 676 , 375 , 87 , 442 ," 1,477 ", 458 , 189 ," 1,850 ", 472 , 588 , 5.2 , 1.2 , 6.5 , 0.7 , 8.8 , 0.7 , 7.5 , 1.7 , 1.4 , 0.3 , 3.2 , 3.3 , 211.6 , 434.0 , 790.0 , 513.0 , 105.0 , 22.0 , 31.0 , 3.6 , 1.1 , 2.1 , 4.3 , 538.0 
