Harvest,Region,Net extent harvested (ha),Production (MT)
2022 Yala,COLOMBO,2448,5412
2022 Yala,GAMPAHA,8360,20844
2022 Yala,KALUTARA,9834,22915
2022 Yala,KANDY,7978,25743
2022 Yala,MATALE,11406,31577
2022 Yala,NUWARAELIYA,1618,5993
2022 Yala,GALLE,8155,17896
2022 Yala,MATARA,10320,28178
2022 Yala,HAMBANTOTA,28834,132995
2022 Yala,JAFFNA,-,-
2022 Yala,MANNAR,2171,7435
2022 Yala,VAVUNIYA,5147,22485
2022 Yala,MULATIVU,6501,23132
2022 Yala,KILLINOCHCHI,9164,26985
2022 Yala,BATTICALOA,25327,74720
2022 Yala,AMPARA,59869,221999
2022 Yala,TRINCOMALEE,22752,91605
2022 Yala,KURUNEGALA,56580,157003
2022 Yala,PUTTALAM,11312,31158
2022 Yala,ANURADHAPURA,48111,156283
2022 Yala,POLONNARUWA,51865,222414
2022 Yala,BADULLA,10704,35851
2022 Yala,MONARAGALA,15129,51654
2022 Yala,RATNAPURA,9793,32865
2022 Yala,KEGALLE,5704,14533
2021/2022 Maha,COLOMBO,3239,8166
2021/2022 Maha,GAMPAHA,9522,27059
2021/2022 Maha,KALUTARA,10669,27349
2021/2022 Maha,KANDY,9649,31211
2021/2022 Maha,MATALE,17914,59812
2021/2022 Maha,NUWARAELIYA,2836,11126
2021/2022 Maha,GALLE,8546,21486
2021/2022 Maha,MATARA,10404,28761
2021/2022 Maha,HAMBANTOTA,31459,124870
2021/2022 Maha,JAFFNA,6899,15013
2021/2022 Maha,MANNAR,19259,51276
2021/2022 Maha,VAVUNIYA,17793,42222
2021/2022 Maha,MULATIVU,18707,43110
2021/2022 Maha,KILLINOCHCHI,24317,60417
2021/2022 Maha,BATTICALOA,58711,96253
2021/2022 Maha,AMPARA,77631,221529
2021/2022 Maha,TRINCOMALEE,36815,98005
2021/2022 Maha,KURUNEGALA,80609,260302
2021/2022 Maha,PUTTALAM,16557,39985
2021/2022 Maha,ANURADHAPURA,93730,260448
2021/2022 Maha,POLONNARUWA,58858,182628
2021/2022 Maha,BADULLA,20557,62221
2021/2022 Maha,MONARAGALA,33504,100062
2021/2022 Maha,RATNAPURA,11085,37299
2021/2022 Maha,KEGALLE,5894,20620
2021 Yala,COLOMBO,1996,4899
2021 Yala,GAMPAHA,7218,21588
2021 Yala,KALUTARA,8698,26515
2021 Yala,KANDY,7320,21559
2021 Yala,MATALE,11084,51415
2021 Yala,NUWARAELIYA,1450,5680
2021 Yala,GALLE,6515,18873
2021 Yala,MATARA,10944,40787
2021 Yala,HAMBANTOTA,30134,175190
2021 Yala,JAFFNA,-,-
2021 Yala,MANNAR,2608,12860
2021 Yala,VAVUNIYA,4719,26606
2021 Yala,MULATIVU,6966,36832
2021 Yala,KILLINOCHCHI,8937,41288
2021 Yala,BATTICALOA,25156,117353
2021 Yala,AMPARA,59995,313708
2021 Yala,TRINCOMALEE,23447,123491
2021 Yala,KURUNEGALA,67988,273572
2021 Yala,PUTTALAM,14868,58728
2021 Yala,ANURADHAPURA,49868,233948
2021 Yala,POLONNARUWA,55199,300317
2021 Yala,BADULLA,10284,52327
2021 Yala,MONARAGALA,15444,77752
2021 Yala,RATNAPURA,9131,37617
2021 Yala,KEGALLE,5115,15297
2020/2021 Maha,COLOMBO,3276,12198
2020/2021 Maha,GAMPAHA,10502,39390
2020/2021 Maha,KALUTARA,11910,39990
2020/2021 Maha,KANDY,9635,45478
2020/2021 Maha,MATALE,16980,96263
2020/2021 Maha,NUWARAELIYA,2748,13798
2020/2021 Maha,GALLE,10444,35538
2020/2021 Maha,MATARA,10997,39430
2020/2021 Maha,HAMBANTOTA,30483,179336
2020/2021 Maha,JAFFNA,7663,19530
2020/2021 Maha,MANNAR,19234,100561
2020/2021 Maha,VAVUNIYA,18174,77297
2020/2021 Maha,MULATIVU,21459,91546
2020/2021 Maha,KILLINOCHCHI,24277,84963
2020/2021 Maha,BATTICALOA,57925,220640
2020/2021 Maha,AMPARA,76391,365123
2020/2021 Maha,TRINCOMALEE,37009,157272
2020/2021 Maha,KURUNEGALA,75634,285481
2020/2021 Maha,PUTTALAM,16348,61240
2020/2021 Maha,ANURADHAPURA,90353,460585
2020/2021 Maha,POLONNARUWA,58846,307190
2020/2021 Maha,BADULLA,20033,97344
2020/2021 Maha,MONARAGALA,33530,154218
2020/2021 Maha,RATNAPURA,11348,50666
2020/2021 Maha,KEGALLE,6322,26317
2020 Yala,COLOMBO,2736,8976
2020 Yala,GAMPAHA,8500,29283
2020 Yala,KALUTARA,10694,36149
2020 Yala,KANDY,6961,28536
2020 Yala,MATALE,7382,37161
2020 Yala,NUWARAELIYA,2483,11201
2020 Yala,GALLE,8542,24233
2020 Yala,MATARA,10658,38084
2020 Yala,HAMBANTOTA,29846,178647
2020 Yala,JAFFNA,-,-
2020 Yala,MANNAR,1537,8259
2020 Yala,VAVUNIYA,1388,7663
2020 Yala,MULATIVU,5152,26514
2020 Yala,KILLINOCHCHI,8904,46742
2020 Yala,BATTICALOA,25545,117059
2020 Yala,AMPARA,58018,290263
2020 Yala,TRINCOMALEE,20542,108222
2020 Yala,KURUNEGALA,56531,248546
2020 Yala,PUTTALAM,12123,52656
2020 Yala,ANURADHAPURA,31567,155805
2020 Yala,POLONNARUWA,54975,288314
2020 Yala,BADULLA,9893,49200
2020 Yala,MONARAGALA,13902,68422
2020 Yala,RATNAPURA,9626,42382
2020 Yala,KEGALLE,5857,21855
2019/2020 Maha,COLOMBO,2434,8571
2019/2020 Maha,GAMPAHA,8128,34460
2019/2020 Maha,KALUTARA,8756,31876
2019/2020 Maha,KANDY,8694,38440
2019/2020 Maha,MATALE,16534,87897
2019/2020 Maha,NUWARAELIYA,977,3525
2019/2020 Maha,GALLE,6213,24728
2019/2020 Maha,MATARA,9155,35581
2019/2020 Maha,HAMBANTOTA,30521,192353
2019/2020 Maha,JAFFNA,9132,33135
2019/2020 Maha,MANNAR,18492,89263
2019/2020 Maha,VAVUNIYA,18036,89294
2019/2020 Maha,MULATIVU,17228,80008
2019/2020 Maha,KILLINOCHCHI,24106,100224
2019/2020 Maha,BATTICALOA,54055,204489
2019/2020 Maha,AMPARA,73392,349626
2019/2020 Maha,TRINCOMALEE,35567,155592
2019/2020 Maha,KURUNEGALA,82011,388043
2019/2020 Maha,PUTTALAM,16649,77449
2019/2020 Maha,ANURADHAPURA,95148,530356
2019/2020 Maha,POLONNARUWA,58909,318352
2019/2020 Maha,BADULLA,21795,96017
2019/2020 Maha,MONARAGALA,32981,158159
2019/2020 Maha,RATNAPURA,9127,46521
2019/2020 Maha,KEGALLE,5001,22793
2019 Yala,COLOMBO,670,2054
2019 Yala,GAMPAHA,3556,11555
2019 Yala,KALUTARA,4375,12502
2019 Yala,KANDY,4599,15632
2019 Yala,MATALE,4040,21247
2019 Yala,NUWARAELIYA,838,2274
2019 Yala,GALLE,2090,6295
2019 Yala,MATARA,6908,22383
2019 Yala,HAMBANTOTA,28129,161070
2019 Yala,JAFFNA,-,-
2019 Yala,MANNAR,873,4815
2019 Yala,VAVUNIYA,2187,11730
2019 Yala,MULATIVU,4965,25228
2019 Yala,KILLINOCHCHI,8502,44063
2019 Yala,BATTICALOA,21627,79649
2019 Yala,AMPARA,52675,283226
2019 Yala,TRINCOMALEE,16814,83700
2019 Yala,KURUNEGALA,30763,123518
2019 Yala,PUTTALAM,6087,27262
2019 Yala,ANURADHAPURA,25805,132103
2019 Yala,POLONNARUWA,54340,299468
2019 Yala,BADULLA,9340,47817
2019 Yala,MONARAGALA,12924,66200
2019 Yala,RATNAPURA,6106,29516
