Harvest,Region,SHY,Irrigation_type,Value
2022 YALA,COLOMBO,Sown,Major,287
2022 YALA,GAMPAHA,Sown,Major,1744
2022 YALA,KALUTARA,Sown,Major,136
2022 YALA,KANDY,Sown,Major,4135
2022 YALA,MATALE,Sown,Major,6525
2022 YALA,NUWARAELIYA,Sown,Major,638
2022 YALA,GALLE,Sown,Major,203
2022 YALA,MATARA,Sown,Major,4021
2022 YALA,HAMBANTOTA,Sown,Major,28270
2022 YALA,JAFFNA,Sown,Major,NA
2022 YALA,MANNAR,Sown,Major,1845
2022 YALA,VAVUNIYA,Sown,Major,2416
2022 YALA,MULATIVU,Sown,Major,5008
2022 YALA,KILLINOCHCHI,Sown,Major,10258
2022 YALA,BATTICALOA,Sown,Major,22260
2022 YALA,AMPARA,Sown,Major,60016
2022 YALA,TRINCOMALEE,Sown,Major,19599
2022 YALA,KURUNEGALA,Sown,Major,14206
2022 YALA,PUTTALAM,Sown,Major,5939
2022 YALA,ANURADHAPURA,Sown,Major,37267
2022 YALA,POLONNARUWA,Sown,Major,53098
2022 YALA,BADULLA,Sown,Major,7676
2022 YALA,MONARAGALA,Sown,Major,7809
2022 YALA,RATNAPURA,Sown,Major,4163
2022 YALA,KEGALLE,Sown,Major,NA
2022 YALA,COLOMBO,Sown,Minor,382
2022 YALA,GAMPAHA,Sown,Minor,2891
2022 YALA,KALUTARA,Sown,Minor,1505
2022 YALA,KANDY,Sown,Minor,3437
2022 YALA,MATALE,Sown,Minor,5064
2022 YALA,NUWARAELIYA,Sown,Minor,2233
2022 YALA,GALLE,Sown,Minor,1685
2022 YALA,MATARA,Sown,Minor,3165
2022 YALA,HAMBANTOTA,Sown,Minor,3927
2022 YALA,JAFFNA,Sown,Minor,NA
2022 YALA,MANNAR,Sown,Minor,430
2022 YALA,VAVUNIYA,Sown,Minor,3069
2022 YALA,MULATIVU,Sown,Minor,1883
2022 YALA,KILLINOCHCHI,Sown,Minor,75
2022 YALA,BATTICALOA,Sown,Minor,4438
2022 YALA,AMPARA,Sown,Minor,2299
2022 YALA,TRINCOMALEE,Sown,Minor,4443
2022 YALA,KURUNEGALA,Sown,Minor,22765
2022 YALA,PUTTALAM,Sown,Minor,6543
2022 YALA,ANURADHAPURA,Sown,Minor,22127
2022 YALA,POLONNARUWA,Sown,Minor,5538
2022 YALA,BADULLA,Sown,Minor,4888
2022 YALA,MONARAGALA,Sown,Minor,6775
2022 YALA,RATNAPURA,Sown,Minor,5307
2022 YALA,KEGALLE,Sown,Minor,1719
2022 YALA,COLOMBO,Sown,RainFed,2211
2022 YALA,GAMPAHA,Sown,RainFed,5215
2022 YALA,KALUTARA,Sown,RainFed,9124
2022 YALA,KANDY,Sown,RainFed,2518
2022 YALA,MATALE,Sown,RainFed,1127
2022 YALA,NUWARAELIYA,Sown,RainFed,2
2022 YALA,GALLE,Sown,RainFed,8727
2022 YALA,MATARA,Sown,RainFed,6135
2022 YALA,HAMBANTOTA,Sown,RainFed,834
2022 YALA,JAFFNA,Sown,RainFed,NA
2022 YALA,MANNAR,Sown,RainFed,NA
2022 YALA,VAVUNIYA,Sown,RainFed,NA
2022 YALA,MULATIVU,Sown,RainFed,NA
2022 YALA,KILLINOCHCHI,Sown,RainFed,NA
2022 YALA,BATTICALOA,Sown,RainFed,1998
2022 YALA,AMPARA,Sown,RainFed,371
2022 YALA,TRINCOMALEE,Sown,RainFed,449
2022 YALA,KURUNEGALA,Sown,RainFed,19859
2022 YALA,PUTTALAM,Sown,RainFed,926
2022 YALA,ANURADHAPURA,Sown,RainFed,524
2022 YALA,POLONNARUWA,Sown,RainFed,NA
2022 YALA,BADULLA,Sown,RainFed,30
2022 YALA,MONARAGALA,Sown,RainFed,987
2022 YALA,RATNAPURA,Sown,RainFed,2140
2022 YALA,KEGALLE,Sown,RainFed,4385
2022 YALA,COLOMBO,Harvested,Major,287
2022 YALA,GAMPAHA,Harvested,Major,1744
2022 YALA,KALUTARA,Harvested,Major,136
2022 YALA,KANDY,Harvested,Major,4135
2022 YALA,MATALE,Harvested,Major,6520
2022 YALA,NUWARAELIYA,Harvested,Major,638
2022 YALA,GALLE,Harvested,Major,202
2022 YALA,MATARA,Harvested,Major,3811
2022 YALA,HAMBANTOTA,Harvested,Major,28250
2022 YALA,JAFFNA,Harvested,Major,NA
2022 YALA,MANNAR,Harvested,Major,1844
2022 YALA,VAVUNIYA,Harvested,Major,2409
2022 YALA,MULATIVU,Harvested,Major,5008
2022 YALA,KILLINOCHCHI,Harvested,Major,10258
2022 YALA,BATTICALOA,Harvested,Major,22260
2022 YALA,AMPARA,Harvested,Major,60002
2022 YALA,TRINCOMALEE,Harvested,Major,19599
2022 YALA,KURUNEGALA,Harvested,Major,14193
2022 YALA,PUTTALAM,Harvested,Major,5930
2022 YALA,ANURADHAPURA,Harvested,Major,37249
2022 YALA,POLONNARUWA,Harvested,Major,53095
2022 YALA,BADULLA,Harvested,Major,7676
2022 YALA,MONARAGALA,Harvested,Major,7797
2022 YALA,RATNAPURA,Harvested,Major,4142
2022 YALA,KEGALLE,Harvested,Major,NA
2022 YALA,COLOMBO,Harvested,Minor,382
2022 YALA,GAMPAHA,Harvested,Minor,2887
2022 YALA,KALUTARA,Harvested,Minor,1502
2022 YALA,KANDY,Harvested,Minor,3437
2022 YALA,MATALE,Harvested,Minor,5045
2022 YALA,NUWARAELIYA,Harvested,Minor,2231
2022 YALA,GALLE,Harvested,Minor,1654
2022 YALA,MATARA,Harvested,Minor,3143
2022 YALA,HAMBANTOTA,Harvested,Minor,3920
2022 YALA,JAFFNA,Harvested,Minor,NA
2022 YALA,MANNAR,Harvested,Minor,430
2022 YALA,VAVUNIYA,Harvested,Minor,3047
2022 YALA,MULATIVU,Harvested,Minor,1883
2022 YALA,KILLINOCHCHI,Harvested,Minor,70
2022 YALA,BATTICALOA,Harvested,Minor,4438
2022 YALA,AMPARA,Harvested,Minor,2273
2022 YALA,TRINCOMALEE,Harvested,Minor,4443
2022 YALA,KURUNEGALA,Harvested,Minor,22660
2022 YALA,PUTTALAM,Harvested,Minor,6462
2022 YALA,ANURADHAPURA,Harvested,Minor,22071
2022 YALA,POLONNARUWA,Harvested,Minor,5536
2022 YALA,BADULLA,Harvested,Minor,4887
2022 YALA,MONARAGALA,Harvested,Minor,6691
2022 YALA,RATNAPURA,Harvested,Minor,5270
2022 YALA,KEGALLE,Harvested,Minor,1713
2022 YALA,COLOMBO,Harvested,RainFed,2211
2022 YALA,GAMPAHA,Harvested,RainFed,5205
2022 YALA,KALUTARA,Harvested,RainFed,9023
2022 YALA,KANDY,Harvested,RainFed,2517
2022 YALA,MATALE,Harvested,RainFed,1118
2022 YALA,NUWARAELIYA,Harvested,RainFed,2
2022 YALA,GALLE,Harvested,RainFed,8566
2022 YALA,MATARA,Harvested,RainFed,6118
2022 YALA,HAMBANTOTA,Harvested,RainFed,833
2022 YALA,JAFFNA,Harvested,RainFed,NA
2022 YALA,MANNAR,Harvested,RainFed,NA
2022 YALA,VAVUNIYA,Harvested,RainFed,NA
2022 YALA,MULATIVU,Harvested,RainFed,NA
2022 YALA,KILLINOCHCHI,Harvested,RainFed,NA
2022 YALA,BATTICALOA,Harvested,RainFed,1998
2022 YALA,AMPARA,Harvested,RainFed,369
2022 YALA,TRINCOMALEE,Harvested,RainFed,449
2022 YALA,KURUNEGALA,Harvested,RainFed,19728
2022 YALA,PUTTALAM,Harvested,RainFed,916
2022 YALA,ANURADHAPURA,Harvested,RainFed,512
2022 YALA,POLONNARUWA,Harvested,RainFed,NA
2022 YALA,BADULLA,Harvested,RainFed,30
2022 YALA,MONARAGALA,Harvested,RainFed,949
2022 YALA,RATNAPURA,Harvested,RainFed,2110
2022 YALA,KEGALLE,Harvested,RainFed,4375
2022 YALA,COLOMBO,Yield,Major,3114
2022 YALA,GAMPAHA,Yield,Major,2604
2022 YALA,KALUTARA,Yield,Major,3618
2022 YALA,KANDY,Yield,Major,3469
2022 YALA,MATALE,Yield,Major,2723
2022 YALA,NUWARAELIYA,Yield,Major,4310
2022 YALA,GALLE,Yield,Major,2077
2022 YALA,MATARA,Yield,Major,2984
2022 YALA,HAMBANTOTA,Yield,Major,4833
2022 YALA,JAFFNA,Yield,Major,NA
2022 YALA,MANNAR,Yield,Major,3575
2022 YALA,VAVUNIYA,Yield,Major,4563
2022 YALA,MULATIVU,Yield,Major,3358
2022 YALA,KILLINOCHCHI,Yield,Major,2951
2022 YALA,BATTICALOA,Yield,Major,2970
2022 YALA,AMPARA,Yield,Major,3746
2022 YALA,TRINCOMALEE,Yield,Major,4143
2022 YALA,KURUNEGALA,Yield,Major,2827
2022 YALA,PUTTALAM,Yield,Major,3232
2022 YALA,ANURADHAPURA,Yield,Major,3375
